# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20211201-20211231
# ----------------------------------------

Gender,Age,User Type,Default Channel Grouping,Country,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
male,25-34,Returning Visitor,Direct,United States,"US$25,866.67","1,428",308,21.57%,244,17.09%,253,17.72%,775,0,164:09:09,"17,590"
female,25-34,Returning Visitor,Direct,United States,"US$20,750.07","1,266",250,19.75%,215,16.98%,195,15.40%,641,0,144:07:13,"14,427"
female,18-24,Returning Visitor,Direct,United States,"US$18,172.60",824,144,17.48%,179,21.72%,156,18.93%,451,0,105:29:40,"10,905"
male,35-44,Returning Visitor,Direct,United States,"US$17,744.79","1,035",199,19.23%,184,17.78%,154,14.88%,558,0,131:21:10,"13,366"
female,35-44,Returning Visitor,Direct,United States,"US$13,348.66",603,121,20.07%,118,19.57%,149,24.71%,330,0,74:17:51,"7,151"
male,18-24,Returning Visitor,Direct,United States,"US$12,871.15",919,218,23.72%,164,17.85%,125,13.60%,506,0,93:26:29,"9,592"
male,25-34,New Visitor,Direct,United States,"US$8,507.91","1,485",405,27.27%,139,9.36%,109,7.34%,"1,484","1,485",127:40:27,"12,347"
male,35-44,New Visitor,Direct,United States,"US$8,115.01","1,060",282,26.60%,105,9.91%,73,6.89%,"1,058","1,060",95:56:23,"9,827"
male,45-54,Returning Visitor,Direct,United States,"US$6,995.87",570,135,23.68%,98,17.19%,89,15.61%,287,0,68:26:35,"6,686"
male,18-24,New Visitor,Direct,United States,"US$4,798.12","1,222",320,26.19%,95,7.77%,67,5.48%,"1,221","1,222",91:15:42,"9,444"
female,25-34,New Visitor,Direct,United States,"US$4,112.14","1,062",285,26.84%,84,7.91%,58,5.46%,"1,062","1,062",95:40:18,"9,583"
male,45-54,New Visitor,Direct,United States,"US$3,957.60",527,139,26.38%,41,7.78%,37,7.02%,526,527,45:32:58,"4,339"
male,55-64,Returning Visitor,Direct,United States,"US$3,747.68",191,59,30.89%,43,22.51%,43,22.51%,97,0,22:07:50,"2,328"
female,35-44,New Visitor,Direct,United States,"US$3,507.64",630,193,30.63%,50,7.94%,38,6.03%,630,630,54:41:12,"5,105"
male,65+,Returning Visitor,Direct,United States,"US$3,090.41",104,17,16.35%,25,24.04%,20,19.23%,56,0,15:43:19,"1,589"
female,45-54,Returning Visitor,Direct,United States,"US$3,082.74",264,64,24.24%,37,14.02%,36,13.64%,147,0,28:58:52,"2,710"
male,25-34,Returning Visitor,Direct,United Kingdom,"US$2,643.60",99,41,41.41%,11,11.11%,10,10.10%,66,0,08:02:49,794
female,18-24,New Visitor,Direct,United States,"US$2,585.42",780,229,29.36%,52,6.67%,36,4.62%,779,780,63:26:44,"5,949"
male,55-64,New Visitor,Direct,United States,"US$2,556.00",211,58,27.49%,33,15.64%,26,12.32%,211,211,20:34:34,"1,906"
female,25-34,Returning Visitor,Paid Search,United States,"US$2,448.04",114,30,26.32%,20,17.54%,28,24.56%,65,0,12:36:16,"1,396"
male,25-34,Returning Visitor,Direct,Canada,"US$2,442.20",78,23,29.49%,16,20.51%,5,6.41%,47,0,10:24:27,"1,011"
male,35-44,Returning Visitor,Paid Search,United States,"US$2,091.99",102,16,15.69%,18,17.65%,20,19.61%,46,0,13:02:13,"1,361"
female,45-54,New Visitor,Direct,United States,"US$1,768.00",315,86,27.30%,35,11.11%,24,7.62%,314,315,26:14:01,"2,574"
male,18-24,Returning Visitor,Paid Search,United States,"US$1,421.14",121,25,20.66%,21,17.36%,17,14.05%,53,0,11:30:24,"1,331"
female,65+,Returning Visitor,Direct,United States,"US$1,278.04",76,17,22.37%,18,23.68%,13,17.11%,39,0,09:13:33,723
female,35-44,Returning Visitor,Paid Search,United States,"US$1,234.30",59,11,18.64%,9,15.25%,5,8.47%,34,0,08:18:36,691
male,65+,New Visitor,Direct,United States,US$783.68,116,41,35.34%,6,5.17%,11,9.48%,116,116,08:22:52,"1,024"
female,18-24,Returning Visitor,Paid Search,United States,US$776.08,93,44,47.31%,14,15.05%,11,11.83%,46,0,08:02:03,663
female,55-64,Returning Visitor,Direct,United States,US$717.20,95,23,24.21%,14,14.74%,10,10.53%,55,0,08:21:12,855
male,25-34,Returning Visitor,Paid Search,United States,US$706.80,160,49,30.62%,12,7.50%,11,6.88%,74,0,09:40:21,"1,106"
female,55-64,New Visitor,Direct,United States,US$612.52,149,53,35.57%,12,8.05%,8,5.37%,149,149,12:30:18,"1,003"
male,18-24,Returning Visitor,Direct,United Kingdom,US$604.20,97,29,29.90%,7,7.22%,5,5.15%,65,0,07:26:43,655
male,55-64,Returning Visitor,Direct,United Kingdom,US$563.20,16,5,31.25%,3,18.75%,8,50.00%,11,0,01:57:08,251
female,18-24,Returning Visitor,Direct,United Kingdom,US$473.96,69,21,30.43%,6,8.70%,3,4.35%,48,0,08:00:10,630
male,18-24,New Visitor,Direct,Canada,US$390.84,166,61,36.75%,11,6.63%,5,3.01%,166,166,07:53:12,937
female,65+,New Visitor,Direct,United States,US$357.48,79,22,27.85%,4,5.06%,5,6.33%,79,79,07:04:05,649
male,25-34,New Visitor,Direct,Canada,US$335.80,154,48,31.17%,10,6.49%,2,1.30%,154,154,12:54:02,"1,326"
male,45-54,New Visitor,Direct,Canada,US$322.96,45,25,55.56%,4,8.89%,2,4.44%,45,45,02:11:41,296
female,35-44,New Visitor,Paid Search,United States,US$271.48,93,52,55.91%,3,3.23%,3,3.23%,93,93,03:23:33,372
female,45-54,Returning Visitor,Direct,Canada,US$257.60,27,11,40.74%,1,3.70%,1,3.70%,12,0,02:33:57,171
male,55-64,New Visitor,Paid Search,United States,US$241.00,40,29,72.50%,2,5.00%,2,5.00%,40,40,00:50:31,122
female,18-24,Returning Visitor,Direct,India,US$212.40,99,46,46.46%,8,8.08%,1,1.01%,61,0,07:56:57,511
female,25-34,New Visitor,Paid Search,United States,US$207.80,121,60,49.59%,7,5.79%,6,4.96%,121,121,06:34:24,512
male,18-24,New Visitor,Paid Search,United States,US$180.50,155,75,48.39%,3,1.94%,2,1.29%,155,155,04:37:55,672
female,18-24,New Visitor,Direct,Canada,US$177.44,72,27,37.50%,2,2.78%,1,1.39%,72,72,05:04:25,410
male,35-44,Returning Visitor,Direct,Canada,US$174.60,64,20,31.25%,5,7.81%,1,1.56%,31,0,06:03:51,624
male,35-44,Returning Visitor,Direct,United Kingdom,US$154.24,80,26,32.50%,3,3.75%,2,2.50%,52,0,07:36:49,633
female,18-24,New Visitor,Direct,United Kingdom,US$153.20,165,79,47.88%,3,1.82%,1,0.61%,164,165,06:53:56,673
female,25-34,New Visitor,Direct,India,US$149.60,273,132,48.35%,5,1.83%,2,0.73%,272,273,10:50:29,"1,039"
male,45-54,Returning Visitor,Paid Search,United States,US$133.60,35,6,17.14%,5,14.29%,4,11.43%,20,0,04:58:40,486
male,18-24,Returning Visitor,Direct,Canada,US$132.00,53,20,37.74%,2,3.77%,2,3.77%,36,0,03:34:11,278
male,35-44,New Visitor,Paid Search,United States,US$128.48,99,44,44.44%,5,5.05%,2,2.02%,99,99,03:46:39,403
male,45-54,New Visitor,Direct,India,US$99.76,142,77,54.23%,3,2.11%,2,1.41%,141,142,05:32:11,534
female,18-24,New Visitor,Direct,Brazil,US$95.20,55,40,72.73%,2,3.64%,1,1.82%,55,55,01:10:22,141
male,45-54,Returning Visitor,Direct,United Kingdom,US$78.00,39,10,25.64%,5,12.82%,2,5.13%,24,0,03:32:26,299
female,35-44,Returning Visitor,Direct,Taiwan,US$77.60,25,8,32.00%,3,12.00%,2,8.00%,12,0,02:13:41,158
male,25-34,New Visitor,Paid Search,United States,US$69.00,117,60,51.28%,1,0.85%,1,0.85%,117,117,03:36:55,463
female,45-54,New Visitor,Direct,Canada,US$68.40,31,9,29.03%,1,3.23%,1,3.23%,31,31,02:31:07,203
female,25-34,Returning Visitor,Direct,United Kingdom,US$68.00,74,39,52.70%,5,6.76%,1,1.35%,59,0,04:35:29,454
male,25-34,New Visitor,Direct,United Kingdom,US$67.20,291,138,47.42%,6,2.06%,1,0.34%,291,291,08:10:08,"1,063"
male,65+,New Visitor,Paid Search,United States,US$60.00,14,7,50.00%,1,7.14%,1,7.14%,14,14,00:44:35,83
female,25-34,New Visitor,Direct,United Kingdom,US$59.60,147,70,47.62%,3,2.04%,1,0.68%,147,147,08:06:33,646
male,35-44,New Visitor,Direct,United Kingdom,US$56.50,185,86,46.49%,5,2.70%,1,0.54%,185,185,05:07:15,647
female,25-34,Returning Visitor,Direct,India,US$53.36,71,33,46.48%,1,1.41%,1,1.41%,41,0,02:52:46,270
female,45-54,Returning Visitor,Paid Search,United States,US$52.80,26,8,30.77%,3,11.54%,1,3.85%,18,0,02:09:45,211
male,25-34,Returning Visitor,Direct,Ireland,US$36.80,17,5,29.41%,3,17.65%,1,5.88%,11,0,01:12:34,144
female,25-34,New Visitor,Direct,Thailand,US$33.60,15,4,26.67%,2,13.33%,1,6.67%,15,15,01:48:53,84
male,25-34,New Visitor,Direct,Spain,US$30.00,47,28,59.57%,1,2.13%,1,2.13%,47,47,02:04:19,154
male,45-54,New Visitor,Paid Search,United States,US$30.00,59,28,47.46%,1,1.69%,1,1.69%,59,59,02:09:42,239
female,45-54,New Visitor,Paid Search,United States,US$23.00,77,48,62.34%,1,1.30%,1,1.30%,77,77,01:13:18,208
male,35-44,New Visitor,Direct,Japan,US$22.96,61,32,52.46%,3,4.92%,1,1.64%,61,61,04:16:30,274
female,25-34,Returning Visitor,Direct,Germany,US$14.40,29,9,31.03%,4,13.79%,1,3.45%,20,0,05:33:31,317
female,25-34,Returning Visitor,Direct,France,US$14.40,25,16,64.00%,1,4.00%,1,4.00%,19,0,00:54:56,61
female,18-24,New Visitor,Paid Search,United States,US$12.00,84,35,41.67%,1,1.19%,1,1.19%,84,84,02:57:12,336
male,35-44,New Visitor,Direct,Canada,US$11.60,107,46,42.99%,2,1.87%,1,0.93%,107,107,04:14:08,500
male,25-34,New Visitor,Direct,Brazil,US$10.40,92,47,51.09%,2,2.17%,1,1.09%,92,92,03:31:56,285
female,25-34,New Visitor,Direct,Singapore,US$6.40,66,40,60.61%,1,1.52%,1,1.52%,66,66,03:57:31,297
male,18-24,New Visitor,Direct,United Kingdom,US$5.00,359,194,54.04%,6,1.67%,1,0.28%,358,359,11:57:24,"1,126"
female,18-24,New Visitor,Direct,Argentina,US$0.00,13,8,61.54%,0,0.00%,0,0.00%,13,13,00:10:13,28
female,18-24,New Visitor,Direct,Australia,US$0.00,48,33,68.75%,0,0.00%,0,0.00%,48,48,02:21:37,268
female,18-24,New Visitor,Direct,Belgium,US$0.00,22,15,68.18%,0,0.00%,0,0.00%,22,22,00:32:58,53
female,18-24,New Visitor,Direct,Switzerland,US$0.00,11,7,63.64%,0,0.00%,0,0.00%,11,11,00:15:03,49
female,18-24,New Visitor,Direct,China,US$0.00,18,12,66.67%,0,0.00%,0,0.00%,17,18,00:14:23,43
