# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20200701-20200731
# ----------------------------------------

Gender,Age,User Type,Default Channel Grouping,Country,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
male,55-64,New Visitor,Direct,United States,US$235.25,118,34,28.81%,10,8.47%,1,0.85%,118,118,08:41:34,811
male,25-34,New Visitor,Paid Search,United States,US$137.00,31,14,45.16%,1,3.23%,1,3.23%,31,31,01:05:51,151
female,35-44,New Visitor,Organic Search,United States,US$102.80,133,43,32.33%,4,3.01%,1,0.75%,133,133,08:48:42,820
male,25-34,Returning Visitor,Organic Search,United States,US$57.50,343,105,30.61%,15,4.37%,2,0.58%,205,0,27:46:07,"3,289"
male,35-44,New Visitor,Organic Search,United States,US$25.00,246,80,32.52%,6,2.44%,1,0.41%,246,246,14:01:38,"1,456"
female,25-34,Returning Visitor,Organic Search,Canada,US$24.00,48,12,25.00%,1,2.08%,1,2.08%,23,0,06:27:19,338
male,65+,New Visitor,Direct,United States,US$21.75,104,26,25.00%,9,8.65%,1,0.96%,104,104,09:15:08,771
female,35-44,New Visitor,Direct,United States,US$20.00,229,56,24.45%,17,7.42%,1,0.44%,229,229,15:41:06,"1,368"
male,18-24,Returning Visitor,Organic Search,United States,US$17.00,196,48,24.49%,6,3.06%,1,0.51%,120,0,14:57:23,"1,426"
female,35-44,Returning Visitor,Organic Search,United States,US$13.00,132,34,25.76%,8,6.06%,1,0.76%,74,0,11:55:51,"1,087"
female,65+,New Visitor,Direct,United States,US$13.00,58,20,34.48%,5,8.62%,1,1.72%,58,58,04:01:36,408
male,18-24,New Visitor,Organic Search,Canada,US$10.50,63,19,30.16%,3,4.76%,1,1.59%,63,63,02:47:44,365
female,18-24,New Visitor,Affiliates,India,US$0.00,13,6,46.15%,0,0.00%,0,0.00%,13,13,00:17:38,31
female,18-24,New Visitor,Affiliates,United States,US$0.00,11,7,63.64%,0,0.00%,0,0.00%,11,11,00:20:48,56
female,18-24,New Visitor,Direct,Brazil,US$0.00,11,3,27.27%,0,0.00%,0,0.00%,11,11,00:35:20,50
female,18-24,New Visitor,Direct,Canada,US$0.00,18,9,50.00%,0,0.00%,0,0.00%,18,18,00:41:18,48
female,18-24,New Visitor,Direct,India,US$0.00,44,26,59.09%,1,2.27%,0,0.00%,44,44,01:27:36,107
female,18-24,New Visitor,Direct,United States,US$0.00,267,90,33.71%,19,7.12%,0,0.00%,267,267,19:32:51,"1,872"
female,18-24,New Visitor,Display,Canada,US$0.00,25,13,52.00%,0,0.00%,0,0.00%,25,25,01:11:18,287
female,18-24,New Visitor,Display,United States,US$0.00,16,10,62.50%,0,0.00%,0,0.00%,16,16,00:02:36,31
female,18-24,New Visitor,Organic Search,Australia,US$0.00,18,17,94.44%,0,0.00%,0,0.00%,18,18,00:03:04,20
female,18-24,New Visitor,Organic Search,Brazil,US$0.00,18,12,66.67%,0,0.00%,0,0.00%,18,18,00:39:42,83
female,18-24,New Visitor,Organic Search,Canada,US$0.00,25,8,32.00%,1,4.00%,0,0.00%,25,25,01:15:13,103
female,18-24,New Visitor,Organic Search,Colombia,US$0.00,12,6,50.00%,0,0.00%,0,0.00%,12,12,00:07:04,26
female,18-24,New Visitor,Organic Search,Germany,US$0.00,14,9,64.29%,0,0.00%,0,0.00%,14,14,00:03:43,19
female,18-24,New Visitor,Organic Search,Spain,US$0.00,13,9,69.23%,0,0.00%,0,0.00%,13,13,00:22:53,38
female,18-24,New Visitor,Organic Search,France,US$0.00,24,15,62.50%,0,0.00%,0,0.00%,23,24,01:03:00,79
female,18-24,New Visitor,Organic Search,United Kingdom,US$0.00,35,29,82.86%,0,0.00%,0,0.00%,34,35,00:21:34,73
female,18-24,New Visitor,Organic Search,Hong Kong,US$0.00,11,8,72.73%,0,0.00%,0,0.00%,11,11,00:04:59,32
female,18-24,New Visitor,Organic Search,Indonesia,US$0.00,18,9,50.00%,0,0.00%,0,0.00%,18,18,02:14:02,93
female,18-24,New Visitor,Organic Search,India,US$0.00,111,76,68.47%,0,0.00%,0,0.00%,111,111,01:53:49,264
female,18-24,New Visitor,Organic Search,South Korea,US$0.00,16,5,31.25%,0,0.00%,0,0.00%,15,16,01:45:39,45
female,18-24,New Visitor,Organic Search,Mexico,US$0.00,15,7,46.67%,0,0.00%,0,0.00%,15,15,00:44:43,53
female,18-24,New Visitor,Organic Search,Malaysia,US$0.00,11,7,63.64%,0,0.00%,0,0.00%,11,11,00:05:53,20
female,18-24,New Visitor,Organic Search,Philippines,US$0.00,14,5,35.71%,0,0.00%,0,0.00%,14,14,00:34:10,77
female,18-24,New Visitor,Organic Search,Singapore,US$0.00,11,6,54.55%,0,0.00%,0,0.00%,11,11,00:26:34,19
female,18-24,New Visitor,Organic Search,Taiwan,US$0.00,19,8,42.11%,0,0.00%,0,0.00%,19,19,01:01:25,66
female,18-24,New Visitor,Organic Search,United States,US$0.00,179,73,40.78%,5,2.79%,0,0.00%,179,179,11:47:17,"1,065"
female,18-24,New Visitor,Paid Search,United States,US$0.00,12,6,50.00%,0,0.00%,0,0.00%,12,12,00:43:44,75
female,18-24,New Visitor,Referral,India,US$0.00,14,9,64.29%,0,0.00%,0,0.00%,14,14,00:12:30,45
female,18-24,New Visitor,Referral,South Korea,US$0.00,12,6,50.00%,1,8.33%,0,0.00%,12,12,00:20:10,23
female,18-24,New Visitor,Referral,Taiwan,US$0.00,13,8,61.54%,0,0.00%,0,0.00%,13,13,00:07:35,32
female,18-24,New Visitor,Referral,United States,US$0.00,123,36,29.27%,2,1.63%,0,0.00%,123,123,10:00:12,899
female,18-24,New Visitor,Social,Indonesia,US$0.00,16,11,68.75%,0,0.00%,0,0.00%,16,16,00:04:34,48
female,18-24,New Visitor,Social,United States,US$0.00,12,7,58.33%,0,0.00%,0,0.00%,12,12,01:38:48,56
female,18-24,Returning Visitor,Direct,United States,US$0.00,101,16,15.84%,5,4.95%,0,0.00%,69,0,09:27:38,973
female,18-24,Returning Visitor,Organic Search,Canada,US$0.00,28,7,25.00%,1,3.57%,0,0.00%,13,0,03:30:13,133
female,18-24,Returning Visitor,Organic Search,France,US$0.00,19,9,47.37%,0,0.00%,0,0.00%,12,0,03:35:31,72
female,18-24,Returning Visitor,Organic Search,India,US$0.00,19,11,57.89%,0,0.00%,0,0.00%,14,0,00:20:14,50
