# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20220501-20220531
# ----------------------------------------

Gender,Age,User Type,Default Channel Grouping,Country,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
female,25-34,Returning Visitor,Direct,United States,"US$20,674.37",992,259,26.11%,157,15.83%,90,9.07%,525,0,84:54:07,"8,656"
male,35-44,Returning Visitor,Direct,United States,"US$14,144.62",918,232,25.27%,119,12.96%,76,8.28%,491,0,90:02:10,"8,641"
male,25-34,Returning Visitor,Direct,United States,"US$11,330.76","1,311",344,26.24%,174,13.27%,88,6.71%,731,0,113:55:28,"11,849"
female,18-24,Returning Visitor,Direct,United States,"US$8,062.52",667,178,26.69%,106,15.89%,55,8.25%,415,0,66:03:34,"6,564"
male,18-24,Returning Visitor,Direct,United States,"US$7,028.63",760,181,23.82%,121,15.92%,67,8.82%,417,0,60:34:02,"6,117"
female,35-44,Returning Visitor,Direct,United States,"US$6,867.03",444,121,27.25%,79,17.79%,41,9.23%,243,0,50:12:01,"4,468"
female,25-34,New Visitor,Direct,United States,"US$6,411.09","1,318",637,48.33%,85,6.45%,56,4.25%,"1,317","1,318",78:15:12,"7,863"
male,25-34,New Visitor,Direct,United States,"US$5,161.39","2,341","1,269",54.21%,101,4.31%,65,2.78%,"2,339","2,341",100:29:04,"10,973"
male,45-54,Returning Visitor,Direct,United States,"US$4,980.50",391,88,22.51%,65,16.62%,41,10.49%,248,0,40:26:01,"4,321"
male,35-44,New Visitor,Direct,United States,"US$4,430.54","1,397",636,45.53%,89,6.37%,56,4.01%,"1,396","1,397",74:57:56,"8,632"
male,55-64,Returning Visitor,Direct,United States,"US$4,287.68",196,37,18.88%,34,17.35%,22,11.22%,111,0,18:12:37,"1,942"
female,45-54,Returning Visitor,Direct,United States,"US$3,581.60",262,81,30.92%,36,13.74%,23,8.78%,144,0,27:33:31,"2,674"
male,18-24,New Visitor,Direct,United States,"US$3,556.45","1,446",761,52.63%,68,4.70%,37,2.56%,"1,445","1,446",67:42:59,"6,787"
female,18-24,New Visitor,Direct,United States,"US$2,573.06","1,268",700,55.21%,67,5.28%,34,2.68%,"1,267","1,268",57:49:53,"6,043"
male,45-54,New Visitor,Direct,United States,"US$2,102.28",698,296,42.41%,50,7.16%,30,4.30%,698,698,39:33:05,"4,424"
female,55-64,Returning Visitor,Direct,United States,"US$1,728.74",111,29,26.13%,14,12.61%,8,7.21%,58,0,12:49:59,"1,033"
male,55-64,New Visitor,Direct,United States,"US$1,591.60",400,238,59.50%,30,7.50%,16,4.00%,399,400,21:09:24,"2,136"
male,65+,Returning Visitor,Direct,United States,"US$1,514.16",87,19,21.84%,19,21.84%,10,11.49%,50,0,09:43:47,921
female,25-34,Returning Visitor,Paid Search,United States,"US$1,380.95",100,33,33.00%,10,10.00%,5,5.00%,65,0,07:39:27,661
female,35-44,New Visitor,Direct,United States,"US$1,221.62",690,327,47.39%,37,5.36%,21,3.04%,689,690,35:58:48,"3,501"
female,45-54,New Visitor,Direct,United States,"US$1,115.40",372,171,45.97%,24,6.45%,15,4.03%,372,372,19:37:45,"2,104"
female,45-54,Returning Visitor,Direct,United Kingdom,US$928.80,23,7,30.43%,2,8.70%,1,4.35%,16,0,03:21:54,232
female,18-24,Returning Visitor,Paid Search,United States,US$921.84,59,17,28.81%,9,15.25%,5,8.47%,38,0,05:29:30,531
female,55-64,New Visitor,Direct,United States,US$881.00,220,117,53.18%,9,4.09%,9,4.09%,220,220,08:29:31,"1,039"
female,25-34,Returning Visitor,Direct,United Kingdom,US$836.80,165,67,40.61%,17,10.30%,9,5.45%,80,0,15:02:27,970
male,45-54,Returning Visitor,Direct,United Kingdom,US$835.36,53,25,47.17%,5,9.43%,2,3.77%,32,0,02:38:25,247
male,25-34,Returning Visitor,Paid Search,United States,US$780.80,225,79,35.11%,16,7.11%,7,3.11%,110,0,11:24:50,"1,463"
female,25-34,Returning Visitor,Direct,Brazil,US$708.60,24,12,50.00%,1,4.17%,1,4.17%,15,0,01:08:24,90
male,18-24,Returning Visitor,Direct,Canada,US$692.60,79,23,29.11%,8,10.13%,3,3.80%,51,0,07:38:10,743
male,25-34,New Visitor,Paid Search,United States,US$615.60,321,203,63.24%,8,2.49%,7,2.18%,321,321,07:26:59,"1,060"
male,35-44,Returning Visitor,Paid Search,United States,US$613.80,123,40,32.52%,7,5.69%,5,4.07%,66,0,09:18:40,849
female,25-34,Returning Visitor,Direct,Canada,US$583.20,62,18,29.03%,7,11.29%,3,4.84%,35,0,06:34:40,542
male,45-54,Returning Visitor,Paid Search,United States,US$582.80,65,17,26.15%,10,15.38%,4,6.15%,34,0,05:47:38,545
male,45-54,New Visitor,Direct,Canada,US$582.40,51,17,33.33%,4,7.84%,1,1.96%,50,51,03:26:12,308
male,35-44,Returning Visitor,Direct,United Kingdom,US$505.76,88,35,39.77%,9,10.23%,4,4.55%,52,0,07:26:24,494
