# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20221201-20221231
# ----------------------------------------

Gender,Age,User Type,Default Channel Grouping,Country,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
male,25-34,Returning Visitor,Direct,United States,"US$20,525.58","1,543",423,27.41%,250,16.20%,206,13.35%,910,0,143:47:26,"13,326"
female,25-34,Returning Visitor,Direct,United States,"US$11,106.69","1,143",283,24.76%,209,18.29%,145,12.69%,639,0,115:27:04,"9,923"
female,18-24,Returning Visitor,Direct,United States,"US$11,063.12",851,225,26.44%,153,17.98%,109,12.81%,452,0,93:33:29,"7,755"
male,18-24,Returning Visitor,Direct,United States,"US$10,658.20","1,144",332,29.02%,174,15.21%,116,10.14%,651,0,103:40:45,"9,765"
male,45-54,Returning Visitor,Direct,United States,"US$10,183.78",620,180,29.03%,122,19.68%,93,15.00%,335,0,68:09:43,"6,330"
male,35-44,Returning Visitor,Direct,United States,"US$8,955.64",980,261,26.63%,152,15.51%,113,11.53%,602,0,88:41:55,"8,751"
male,25-34,New Visitor,Direct,United States,"US$8,819.52","1,800",537,29.83%,188,10.44%,123,6.83%,"1,799","1,800",130:07:33,"11,275"
female,25-34,New Visitor,Direct,United States,"US$8,058.54",972,278,28.60%,104,10.70%,70,7.20%,972,972,73:11:50,"7,090"
male,35-44,New Visitor,Direct,United States,"US$7,011.10","1,479",469,31.71%,177,11.97%,103,6.96%,"1,477","1,479",113:57:00,"9,808"
female,35-44,Returning Visitor,Direct,United States,"US$6,730.96",592,145,24.49%,98,16.55%,67,11.32%,359,0,63:11:35,"5,406"
female,18-24,New Visitor,Direct,United States,"US$5,947.00",755,253,33.51%,75,9.93%,46,6.09%,755,755,61:20:23,"4,986"
male,18-24,New Visitor,Direct,United States,"US$4,870.29","1,280",377,29.45%,153,11.95%,92,7.19%,"1,280","1,280",99:09:38,"8,378"
male,65+,Returning Visitor,Direct,United States,"US$4,172.00",141,33,23.40%,36,25.53%,16,11.35%,67,0,13:53:51,"1,344"
female,35-44,New Visitor,Direct,United States,"US$3,974.55",708,194,27.40%,72,10.17%,49,6.92%,707,708,58:12:59,"4,937"
male,45-54,New Visitor,Direct,United States,"US$3,822.22",807,243,30.11%,88,10.90%,62,7.68%,806,807,62:34:17,"5,085"
female,45-54,Returning Visitor,Direct,United States,"US$3,176.50",285,107,37.54%,39,13.68%,25,8.77%,180,0,24:38:25,"2,008"
male,55-64,Returning Visitor,Direct,United States,"US$3,137.80",230,64,27.83%,34,14.78%,25,10.87%,135,0,28:56:19,"2,492"
male,25-34,Returning Visitor,Direct,Canada,"US$2,242.80",153,38,24.84%,42,27.45%,18,11.76%,94,0,10:54:18,"1,043"
female,25-34,New Visitor,Paid Search,United States,"US$2,149.40",108,40,37.04%,5,4.63%,5,4.63%,108,108,06:22:20,512
male,55-64,New Visitor,Direct,United States,"US$1,948.85",358,119,33.24%,40,11.17%,28,7.82%,358,358,30:03:36,"2,424"
female,45-54,Returning Visitor,Paid Search,United States,"US$1,795.50",44,13,29.55%,4,9.09%,6,13.64%,23,0,05:47:02,468
male,25-34,Returning Visitor,Paid Search,United States,"US$1,710.40",180,52,28.89%,17,9.44%,12,6.67%,108,0,12:40:04,"1,377"
female,55-64,Returning Visitor,Direct,United States,"US$1,334.73",182,57,31.32%,42,23.08%,18,9.89%,87,0,20:21:32,"1,467"
female,45-54,New Visitor,Direct,United States,"US$1,323.45",374,124,33.16%,41,10.96%,21,5.61%,372,374,35:19:54,"2,520"
male,35-44,New Visitor,Direct,Canada,"US$1,310.40",130,34,26.15%,17,13.08%,8,6.15%,130,130,06:04:05,618
female,55-64,New Visitor,Direct,United States,"US$1,306.20",183,65,35.52%,20,10.93%,17,9.29%,182,183,14:15:18,"1,095"
male,35-44,Returning Visitor,Direct,Canada,"US$1,254.80",86,21,24.42%,14,16.28%,9,10.47%,59,0,06:17:04,489
male,25-34,New Visitor,Paid Search,United States,"US$1,084.30",149,60,40.27%,12,8.05%,9,6.04%,149,149,08:28:00,819
male,18-24,Returning Visitor,Direct,Canada,"US$1,044.80",138,39,28.26%,23,16.67%,12,8.70%,79,0,09:13:19,"1,004"
female,25-34,Returning Visitor,Direct,Canada,"US$1,036.00",76,19,25.00%,20,26.32%,9,11.84%,54,0,04:34:52,497
female,18-24,Returning Visitor,Direct,Canada,US$977.60,89,25,28.09%,11,12.36%,6,6.74%,52,0,08:13:14,465
male,65+,New Visitor,Direct,United States,US$942.64,187,54,28.88%,18,9.63%,12,6.42%,187,187,13:05:04,"1,173"
female,65+,Returning Visitor,Direct,United States,US$916.80,70,17,24.29%,14,20.00%,10,14.29%,44,0,06:05:45,672
female,18-24,Returning Visitor,Paid Search,United States,US$811.20,84,23,27.38%,12,14.29%,11,13.10%,50,0,09:35:31,705
male,18-24,New Visitor,Direct,Canada,US$752.80,160,48,30.00%,17,10.62%,9,5.62%,160,160,06:11:44,702
female,18-24,New Visitor,Direct,Canada,US$750.40,115,36,31.30%,11,9.57%,6,5.22%,115,115,05:11:00,544
male,45-54,Returning Visitor,Direct,United Kingdom,US$677.55,28,10,35.71%,3,10.71%,4,14.29%,23,0,02:37:31,223
