# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20190601-20190630
# ----------------------------------------

Gender,Age,User Type,Default Channel Grouping,Country,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
male,45-54,Returning Visitor,Organic Search,United States,US$131.43,154,51,33.12%,6,3.90%,1,0.65%,92,0,09:57:51,892
male,25-34,New Visitor,Organic Search,United States,US$96.14,"1,473",448,30.41%,34,2.31%,2,0.14%,"1,471","1,473",79:58:34,"8,391"
male,55-64,Returning Visitor,Organic Search,United States,US$33.63,33,12,36.36%,3,9.09%,2,6.06%,22,0,02:23:59,196
male,35-44,Returning Visitor,(Other),United States,US$30.78,46,19,41.30%,2,4.35%,1,2.17%,30,0,01:26:51,209
female,35-44,New Visitor,Organic Search,United States,US$24.95,288,76,26.39%,11,3.82%,1,0.35%,288,288,18:44:40,"1,875"
female,45-54,New Visitor,Organic Search,United States,US$21.99,116,40,34.48%,2,1.72%,1,0.86%,116,116,06:49:04,611
male,18-24,Returning Visitor,Organic Search,United States,US$21.99,286,81,28.32%,15,5.24%,1,0.35%,172,0,19:28:23,"1,561"
male,65+,Returning Visitor,Organic Search,United States,US$21.99,20,8,40.00%,1,5.00%,1,5.00%,14,0,01:44:53,122
male,18-24,New Visitor,Organic Search,United States,US$20.38,513,154,30.02%,10,1.95%,1,0.19%,513,513,24:53:51,"2,896"
male,25-34,Returning Visitor,Organic Search,United States,US$15.39,842,259,30.76%,29,3.44%,1,0.12%,548,0,52:04:30,"4,877"
male,35-44,New Visitor,Direct,United States,US$15.39,390,65,16.67%,16,4.10%,1,0.26%,390,390,27:55:56,"2,408"
female,25-34,Returning Visitor,(Other),United States,US$9.48,22,5,22.73%,3,13.64%,1,4.55%,20,0,01:17:06,130
female,18-24,New Visitor,(Other),United States,US$0.00,13,2,15.38%,0,0.00%,0,0.00%,13,13,01:06:43,74
female,18-24,New Visitor,Affiliates,India,US$0.00,10,7,70.00%,0,0.00%,0,0.00%,10,10,00:13:26,13
female,18-24,New Visitor,Affiliates,United States,US$0.00,10,7,70.00%,0,0.00%,0,0.00%,10,10,00:10:59,14
female,18-24,New Visitor,Direct,France,US$0.00,12,5,41.67%,0,0.00%,0,0.00%,12,12,00:32:40,77
female,18-24,New Visitor,Direct,India,US$0.00,18,6,33.33%,1,5.56%,0,0.00%,17,18,00:49:47,67
female,18-24,New Visitor,Direct,Taiwan,US$0.00,14,6,42.86%,0,0.00%,0,0.00%,14,14,00:29:42,75
female,18-24,New Visitor,Direct,United States,US$0.00,56,12,21.43%,3,5.36%,0,0.00%,56,56,03:40:03,349
female,18-24,New Visitor,Organic Search,Australia,US$0.00,18,13,72.22%,0,0.00%,0,0.00%,18,18,00:04:59,26
female,18-24,New Visitor,Organic Search,Brazil,US$0.00,18,12,66.67%,0,0.00%,0,0.00%,18,18,00:48:19,66
female,18-24,New Visitor,Organic Search,Canada,US$0.00,24,9,37.50%,0,0.00%,0,0.00%,24,24,00:49:28,127
female,18-24,New Visitor,Organic Search,Colombia,US$0.00,16,14,87.50%,0,0.00%,0,0.00%,16,16,00:02:02,21
female,18-24,New Visitor,Organic Search,Germany,US$0.00,15,9,60.00%,0,0.00%,0,0.00%,15,15,00:41:39,40
female,18-24,New Visitor,Organic Search,Spain,US$0.00,21,13,61.90%,0,0.00%,0,0.00%,21,21,01:42:37,50
female,18-24,New Visitor,Organic Search,France,US$0.00,36,27,75.00%,0,0.00%,0,0.00%,36,36,01:21:54,64
female,18-24,New Visitor,Organic Search,United Kingdom,US$0.00,34,18,52.94%,1,2.94%,0,0.00%,34,34,01:55:24,100
female,18-24,New Visitor,Organic Search,Hong Kong,US$0.00,12,8,66.67%,0,0.00%,0,0.00%,12,12,00:07:49,38
female,18-24,New Visitor,Organic Search,Indonesia,US$0.00,17,10,58.82%,0,0.00%,0,0.00%,17,17,00:47:33,36
female,18-24,New Visitor,Organic Search,India,US$0.00,183,110,60.11%,1,0.55%,0,0.00%,182,183,05:44:30,512
female,18-24,New Visitor,Organic Search,Japan,US$0.00,16,9,56.25%,0,0.00%,0,0.00%,16,16,00:31:45,64
female,18-24,New Visitor,Organic Search,South Korea,US$0.00,17,9,52.94%,0,0.00%,0,0.00%,17,17,00:37:55,41
female,18-24,New Visitor,Organic Search,Netherlands,US$0.00,25,14,56.00%,0,0.00%,0,0.00%,25,25,01:12:35,52
female,18-24,New Visitor,Organic Search,Singapore,US$0.00,18,12,66.67%,0,0.00%,0,0.00%,18,18,00:18:48,59
female,18-24,New Visitor,Organic Search,Taiwan,US$0.00,27,21,77.78%,1,3.70%,0,0.00%,26,27,01:24:29,98
female,18-24,New Visitor,Organic Search,United States,US$0.00,260,79,30.38%,4,1.54%,0,0.00%,260,260,15:32:41,"1,440"
female,18-24,New Visitor,Referral,United Kingdom,US$0.00,14,1,7.14%,0,0.00%,0,0.00%,14,14,01:39:33,122
female,18-24,New Visitor,Referral,India,US$0.00,11,6,54.55%,0,0.00%,0,0.00%,11,11,00:40:58,32
female,18-24,New Visitor,Referral,South Korea,US$0.00,10,8,80.00%,0,0.00%,0,0.00%,10,10,00:00:34,12
female,18-24,New Visitor,Referral,United States,US$0.00,92,19,20.65%,3,3.26%,0,0.00%,92,92,06:08:26,589
female,18-24,New Visitor,Social,India,US$0.00,13,8,61.54%,0,0.00%,0,0.00%,13,13,00:07:35,24
female,18-24,Returning Visitor,Organic Search,Australia,US$0.00,61,31,50.82%,0,0.00%,0,0.00%,14,0,04:36:45,155
female,18-24,Returning Visitor,Organic Search,United Kingdom,US$0.00,21,14,66.67%,1,4.76%,0,0.00%,12,0,00:53:04,59
female,18-24,Returning Visitor,Organic Search,India,US$0.00,39,23,58.97%,0,0.00%,0,0.00%,32,0,00:37:47,90
female,18-24,Returning Visitor,Organic Search,Netherlands,US$0.00,20,15,75.00%,0,0.00%,0,0.00%,14,0,01:01:15,32
female,18-24,Returning Visitor,Organic Search,United States,US$0.00,150,60,40.00%,4,2.67%,0,0.00%,83,0,09:40:37,800
female,18-24,Returning Visitor,Referral,Australia,US$0.00,41,11,26.83%,1,2.44%,0,0.00%,11,0,09:13:56,203
female,18-24,Returning Visitor,Referral,United States,US$0.00,95,16,16.84%,6,6.32%,0,0.00%,57,0,08:25:15,726
female,25-34,New Visitor,(Other),India,US$0.00,15,7,46.67%,0,0.00%,0,0.00%,15,15,00:32:19,67
female,25-34,New Visitor,(Other),United States,US$0.00,55,8,14.55%,1,1.82%,0,0.00%,55,55,02:46:35,309
female,25-34,New Visitor,Affiliates,India,US$0.00,16,8,50.00%,0,0.00%,0,0.00%,16,16,00:14:09,35
female,25-34,New Visitor,Affiliates,Taiwan,US$0.00,12,9,75.00%,0,0.00%,0,0.00%,12,12,00:15:45,25
female,25-34,New Visitor,Affiliates,United States,US$0.00,11,9,81.82%,0,0.00%,0,0.00%,11,11,00:21:26,14
female,25-34,New Visitor,Direct,Australia,US$0.00,10,8,80.00%,0,0.00%,0,0.00%,10,10,00:11:05,30
female,25-34,New Visitor,Direct,Canada,US$0.00,10,1,10.00%,0,0.00%,0,0.00%,10,10,00:52:40,72
female,25-34,New Visitor,Direct,United Kingdom,US$0.00,23,5,21.74%,0,0.00%,0,0.00%,23,23,00:37:16,122
female,25-34,New Visitor,Direct,India,US$0.00,44,20,45.45%,1,2.27%,0,0.00%,44,44,01:48:16,152
female,25-34,New Visitor,Direct,Japan,US$0.00,16,3,18.75%,0,0.00%,0,0.00%,16,16,02:51:28,163
female,25-34,New Visitor,Direct,South Korea,US$0.00,16,5,31.25%,0,0.00%,0,0.00%,16,16,01:24:32,111
female,25-34,New Visitor,Direct,Taiwan,US$0.00,35,8,22.86%,0,0.00%,0,0.00%,35,35,02:11:27,209
female,25-34,New Visitor,Direct,United States,US$0.00,268,47,17.54%,7,2.61%,0,0.00%,268,268,21:57:13,"1,753"
female,25-34,New Visitor,Display,United States,US$0.00,16,11,68.75%,0,0.00%,0,0.00%,16,16,00:36:52,24
female,25-34,New Visitor,Organic Search,Argentina,US$0.00,14,10,71.43%,1,7.14%,0,0.00%,14,14,00:04:39,26
female,25-34,New Visitor,Organic Search,Australia,US$0.00,51,33,64.71%,0,0.00%,0,0.00%,50,51,01:40:05,113
female,25-34,New Visitor,Organic Search,Belgium,US$0.00,12,7,58.33%,0,0.00%,0,0.00%,12,12,00:32:14,37
female,25-34,New Visitor,Organic Search,Brazil,US$0.00,38,23,60.53%,0,0.00%,0,0.00%,38,38,01:26:06,198
female,25-34,New Visitor,Organic Search,Canada,US$0.00,61,14,22.95%,1,1.64%,0,0.00%,61,61,03:19:17,371
