# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20211101-20211130
# ----------------------------------------

Gender,Age,User Type,Default Channel Grouping,Country,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
male,25-34,Returning Visitor,Direct,United States,"US$42,155.65","1,799",368,20.46%,314,17.45%,254,14.12%,935,0,197:16:11,"19,782"
female,25-34,Returning Visitor,Direct,United States,"US$17,260.32","1,265",268,21.19%,197,15.57%,149,11.78%,643,0,140:24:07,"12,707"
female,18-24,Returning Visitor,Direct,United States,"US$12,123.78",976,231,23.67%,145,14.86%,105,10.76%,534,0,104:30:59,"9,583"
male,35-44,Returning Visitor,Direct,United States,"US$12,069.18","1,020",223,21.86%,177,17.35%,117,11.47%,573,0,97:10:27,"10,081"
male,25-34,New Visitor,Direct,United States,"US$10,602.94","1,698",462,27.21%,152,8.95%,112,6.60%,"1,698","1,698",129:11:10,"13,272"
male,18-24,Returning Visitor,Direct,United States,"US$10,017.10",869,198,22.78%,129,14.84%,107,12.31%,500,0,96:34:49,"9,071"
female,35-44,Returning Visitor,Direct,United States,"US$9,333.82",598,137,22.91%,95,15.89%,89,14.88%,324,0,74:22:40,"6,461"
male,45-54,Returning Visitor,Direct,United States,"US$7,122.38",510,107,20.98%,96,18.82%,84,16.47%,298,0,53:13:04,"5,232"
female,25-34,New Visitor,Direct,United States,"US$4,727.72","1,036",291,28.09%,83,8.01%,48,4.63%,"1,035","1,036",79:25:11,"7,170"
female,18-24,New Visitor,Direct,United States,"US$4,436.72",975,323,33.13%,57,5.85%,38,3.90%,974,975,69:15:54,"6,358"
male,35-44,New Visitor,Direct,United States,"US$4,209.01","1,059",312,29.46%,76,7.18%,51,4.82%,"1,059","1,059",72:09:39,"7,501"
female,45-54,Returning Visitor,Direct,United States,"US$3,740.15",289,80,27.68%,49,16.96%,42,14.53%,168,0,28:36:20,"2,744"
male,18-24,New Visitor,Direct,United States,"US$3,327.55","1,082",369,34.10%,68,6.28%,44,4.07%,"1,081","1,082",66:25:42,"6,718"
male,55-64,Returning Visitor,Direct,United States,"US$2,508.60",190,53,27.89%,33,17.37%,19,10.00%,107,0,13:37:55,"1,691"
male,45-54,New Visitor,Direct,United States,"US$2,441.90",618,175,28.32%,43,6.96%,27,4.37%,617,618,46:35:40,"4,362"
female,55-64,Returning Visitor,Direct,United States,"US$2,413.02",130,34,26.15%,19,14.62%,24,18.46%,60,0,07:55:05,991
male,65+,Returning Visitor,Direct,United States,"US$2,301.16",114,25,21.93%,19,16.67%,15,13.16%,59,0,15:43:13,"1,768"
female,25-34,Returning Visitor,Direct,Canada,"US$2,131.82",92,26,28.26%,16,17.39%,7,7.61%,44,0,10:10:12,955
female,35-44,New Visitor,Direct,United States,"US$1,883.50",580,173,29.83%,42,7.24%,31,5.34%,580,580,48:32:48,"4,225"
male,18-24,Returning Visitor,Paid Search,United States,"US$1,836.96",104,26,25.00%,13,12.50%,7,6.73%,55,0,07:58:59,815
male,55-64,New Visitor,Direct,United States,"US$1,543.84",226,69,30.53%,19,8.41%,17,7.52%,225,226,14:04:38,"1,429"
male,65+,New Visitor,Direct,United States,"US$1,506.40",125,50,40.00%,18,14.40%,13,10.40%,125,125,09:17:31,950
female,55-64,New Visitor,Direct,United States,"US$1,347.00",151,53,35.10%,19,12.58%,21,13.91%,151,151,14:33:02,"1,277"
female,25-34,Returning Visitor,Paid Search,United States,"US$1,287.30",149,33,22.15%,25,16.78%,12,8.05%,74,0,16:33:13,"1,379"
female,65+,Returning Visitor,Direct,United States,"US$1,213.06",74,26,35.14%,11,14.86%,11,14.86%,38,0,08:17:34,782
male,35-44,Returning Visitor,Paid Search,United States,US$976.20,102,30,29.41%,10,9.80%,7,6.86%,58,0,05:53:30,722
female,45-54,New Visitor,Paid Search,United States,US$960.00,84,54,64.29%,5,5.95%,5,5.95%,84,84,03:15:22,404
male,18-24,Returning Visitor,Direct,Canada,US$890.40,67,23,34.33%,11,16.42%,3,4.48%,37,0,05:54:51,532
male,45-54,Returning Visitor,Paid Search,United States,US$828.76,45,10,22.22%,9,20.00%,8,17.78%,28,0,03:46:36,443
male,25-34,Returning Visitor,Paid Search,United States,US$787.74,131,34,25.95%,11,8.40%,8,6.11%,75,0,10:19:53,"1,068"
female,45-54,New Visitor,Direct,United States,US$752.90,292,82,28.08%,19,6.51%,10,3.42%,292,292,23:46:14,"1,979"
male,35-44,New Visitor,Paid Search,United States,US$672.38,129,53,41.09%,7,5.43%,5,3.88%,129,129,05:21:51,620
female,35-44,Returning Visitor,Paid Search,United States,US$662.10,71,19,26.76%,10,14.08%,6,8.45%,45,0,06:05:49,686
male,25-34,Returning Visitor,Direct,United Kingdom,US$651.04,117,36,30.77%,11,9.40%,5,4.27%,84,0,06:26:39,692
male,25-34,Returning Visitor,Direct,Canada,US$577.80,93,28,30.11%,13,13.98%,5,5.38%,55,0,08:29:34,880
female,35-44,New Visitor,Paid Search,United States,US$553.80,138,83,60.14%,4,2.90%,4,2.90%,138,138,06:11:44,568
female,25-34,New Visitor,Paid Search,United States,US$531.20,157,66,42.04%,8,5.10%,6,3.82%,157,157,06:38:33,720
male,35-44,Returning Visitor,Direct,India,US$473.40,48,20,41.67%,3,6.25%,2,4.17%,30,0,05:42:09,427
male,18-24,New Visitor,Paid Search,United States,US$447.85,179,84,46.93%,5,2.79%,4,2.23%,179,179,07:41:16,891
male,55-64,Returning Visitor,Paid Search,United States,US$416.72,36,13,36.11%,4,11.11%,3,8.33%,14,0,02:09:54,313
female,35-44,Returning Visitor,Direct,Singapore,US$414.24,74,29,39.19%,9,12.16%,3,4.05%,22,0,10:14:36,511
female,65+,New Visitor,Direct,United States,US$404.50,83,29,34.94%,7,8.43%,3,3.61%,83,83,07:52:27,618
male,45-54,New Visitor,Paid Search,United States,US$325.20,80,39,48.75%,5,6.25%,3,3.75%,80,80,04:55:44,490
male,35-44,New Visitor,Direct,Taiwan,US$293.60,54,22,40.74%,2,3.70%,1,1.85%,53,54,03:37:24,269
male,55-64,New Visitor,Paid Search,United States,US$279.40,46,27,58.70%,4,8.70%,4,8.70%,46,46,01:11:51,172
female,18-24,Returning Visitor,Direct,Taiwan,US$273.44,32,11,34.38%,3,9.38%,1,3.12%,19,0,04:32:59,310
female,35-44,Returning Visitor,Direct,United Kingdom,US$235.20,29,16,55.17%,3,10.34%,2,6.90%,21,0,01:25:41,211
male,25-34,New Visitor,Direct,Japan,US$230.20,155,83,53.55%,5,3.23%,2,1.29%,155,155,07:25:32,563
female,18-24,Returning Visitor,Paid Search,United States,US$225.44,77,24,31.17%,9,11.69%,4,5.19%,39,0,09:19:07,613
female,18-24,New Visitor,Paid Search,United States,US$224.08,119,54,45.38%,3,2.52%,3,2.52%,118,119,06:05:46,696
male,25-34,New Visitor,Paid Search,United States,US$214.55,165,63,38.18%,9,5.45%,5,3.03%,165,165,09:39:13,940
female,18-24,Returning Visitor,Direct,United Kingdom,US$196.40,89,41,46.07%,4,4.49%,2,2.25%,47,0,09:49:32,610
male,25-34,Returning Visitor,Direct,South Korea,US$189.84,46,15,32.61%,4,8.70%,1,2.17%,26,0,05:54:37,326
male,35-44,Returning Visitor,Direct,Canada,US$186.40,62,12,19.35%,6,9.68%,1,1.61%,34,0,05:47:38,506
male,18-24,New Visitor,Direct,Canada,US$183.20,122,56,45.90%,6,4.92%,2,1.64%,122,122,06:06:21,539
female,35-44,Returning Visitor,Direct,Taiwan,US$181.60,12,7,58.33%,2,16.67%,1,8.33%,10,0,01:14:17,89
male,45-54,New Visitor,Direct,Canada,US$146.40,60,30,50.00%,1,1.67%,1,1.67%,60,60,01:52:52,256
male,45-54,New Visitor,Direct,United Kingdom,US$131.60,60,23,38.33%,2,3.33%,1,1.67%,60,60,05:01:26,313
female,35-44,Returning Visitor,Direct,Spain,US$124.80,23,15,65.22%,1,4.35%,1,4.35%,19,0,00:40:46,73
female,45-54,Returning Visitor,Paid Search,United States,US$100.48,36,8,22.22%,4,11.11%,1,2.78%,22,0,02:24:09,231
female,25-34,New Visitor,Direct,Canada,US$96.80,105,55,52.38%,4,3.81%,1,0.95%,105,105,06:43:56,510
female,55-64,New Visitor,Paid Search,United States,US$92.80,77,54,70.13%,1,1.30%,1,1.30%,77,77,00:48:27,185
female,25-34,Returning Visitor,Direct,India,US$84.80,66,37,56.06%,6,9.09%,1,1.52%,34,0,04:37:18,380
female,25-34,Returning Visitor,Direct,United Kingdom,US$81.60,96,38,39.58%,1,1.04%,1,1.04%,62,0,07:39:05,531
female,25-34,Returning Visitor,Direct,Mexico,US$81.60,21,5,23.81%,2,9.52%,1,4.76%,15,0,03:51:41,173
female,18-24,New Visitor,Direct,Canada,US$70.40,87,45,51.72%,4,4.60%,1,1.15%,87,87,05:56:00,371
male,65+,New Visitor,Paid Search,United States,US$66.00,25,13,52.00%,1,4.00%,1,4.00%,25,25,00:46:11,85
