# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20220101-20220131
# ----------------------------------------

Gender,Age,User Type,Default Channel Grouping,Country,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
female,25-34,Returning Visitor,Direct,United States,"US$11,199.14",670,159,23.73%,89,13.28%,75,11.19%,424,0,65:25:22,"6,736"
male,25-34,Returning Visitor,Direct,United States,"US$8,339.54","1,069",237,22.17%,115,10.76%,101,9.45%,608,0,86:22:22,"9,972"
male,35-44,Returning Visitor,Direct,United States,"US$4,964.52",701,195,27.82%,96,13.69%,68,9.70%,408,0,64:52:38,"7,188"
female,18-24,Returning Visitor,Direct,United States,"US$3,967.16",561,152,27.09%,65,11.59%,50,8.91%,352,0,39:16:17,"4,723"
male,45-54,Returning Visitor,Direct,United States,"US$3,698.94",348,76,21.84%,49,14.08%,50,14.37%,202,0,34:17:43,"3,954"
female,35-44,Returning Visitor,Direct,United States,"US$3,697.32",381,83,21.78%,52,13.65%,29,7.61%,233,0,32:36:02,"3,542"
male,25-34,New Visitor,Direct,United States,"US$2,752.91","1,176",376,31.97%,71,6.04%,44,3.74%,"1,175","1,176",74:18:30,"7,621"
male,18-24,Returning Visitor,Direct,United States,"US$2,701.60",605,149,24.63%,69,11.40%,55,9.09%,374,0,52:06:14,"5,688"
male,18-24,New Visitor,Direct,United States,"US$2,183.50",907,319,35.17%,53,5.84%,36,3.97%,906,907,51:23:18,"5,644"
male,35-44,New Visitor,Direct,United States,"US$2,116.60",816,249,30.51%,45,5.51%,32,3.92%,815,816,51:49:19,"5,434"
male,65+,Returning Visitor,Direct,United States,"US$1,973.92",63,15,23.81%,14,22.22%,8,12.70%,40,0,05:43:34,594
female,25-34,New Visitor,Direct,United States,"US$1,908.08",823,266,32.32%,45,5.47%,25,3.04%,822,823,50:51:46,"5,218"
female,18-24,New Visitor,Direct,United States,"US$1,902.80",691,240,34.73%,39,5.64%,26,3.76%,690,691,46:05:58,"4,781"
female,25-34,Returning Visitor,Paid Search,United States,"US$1,763.90",66,14,21.21%,16,24.24%,12,18.18%,28,0,07:24:14,906
female,45-54,Returning Visitor,Direct,United States,"US$1,373.00",161,38,23.60%,24,14.91%,17,10.56%,106,0,16:30:00,"1,594"
female,35-44,New Visitor,Direct,United States,"US$1,062.02",461,147,31.89%,26,5.64%,22,4.77%,461,461,33:03:39,"2,752"
male,45-54,New Visitor,Direct,United States,US$903.20,425,133,31.29%,23,5.41%,15,3.53%,424,425,30:38:14,"3,066"
male,35-44,Returning Visitor,Direct,India,US$799.80,54,27,50.00%,6,11.11%,1,1.85%,38,0,05:34:08,343
male,55-64,Returning Visitor,Direct,United States,US$779.00,86,18,20.93%,8,9.30%,6,6.98%,58,0,07:02:00,735
male,45-54,Returning Visitor,Paid Search,United States,US$724.80,28,9,32.14%,4,14.29%,4,14.29%,16,0,04:00:04,447
female,55-64,Returning Visitor,Direct,United States,US$666.95,71,27,38.03%,8,11.27%,7,9.86%,45,0,04:30:28,527
female,55-64,New Visitor,Direct,United States,US$509.53,123,46,37.40%,9,7.32%,7,5.69%,123,123,08:03:24,772
