# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20220401-20220430
# ----------------------------------------

Gender,Age,User Type,Default Channel Grouping,Country,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
male,25-34,Returning Visitor,Direct,United States,"US$12,600.34","1,363",346,25.39%,182,13.35%,108,7.92%,759,0,118:08:39,"12,488"
female,25-34,Returning Visitor,Direct,United States,"US$10,736.40",908,219,24.12%,130,14.32%,82,9.03%,504,0,87:35:34,"8,937"
male,35-44,Returning Visitor,Direct,United States,"US$9,747.32",880,214,24.32%,122,13.86%,72,8.18%,495,0,86:55:12,"8,437"
male,18-24,Returning Visitor,Direct,United States,"US$9,441.58",779,210,26.96%,89,11.42%,50,6.42%,457,0,69:54:38,"6,511"
female,35-44,Returning Visitor,Direct,United States,"US$8,418.45",535,136,25.42%,83,15.51%,59,11.03%,285,0,50:34:57,"4,819"
male,45-54,Returning Visitor,Direct,United States,"US$6,102.63",483,116,24.02%,61,12.63%,48,9.94%,246,0,59:08:38,"5,029"
female,18-24,Returning Visitor,Direct,United States,"US$5,738.25",728,185,25.41%,97,13.32%,58,7.97%,417,0,70:52:23,"6,551"
male,25-34,New Visitor,Direct,United States,"US$4,783.76","1,691",494,29.21%,128,7.57%,67,3.96%,"1,688","1,691",107:32:09,"11,198"
male,35-44,New Visitor,Direct,United States,"US$4,350.16","1,108",277,25.00%,90,8.12%,58,5.23%,"1,108","1,108",86:59:02,"9,322"
female,18-24,Returning Visitor,Paid Search,United States,"US$4,045.55",127,34,26.77%,16,12.60%,11,8.66%,57,0,20:11:07,"1,103"
male,55-64,Returning Visitor,Direct,United States,"US$3,216.20",159,33,20.75%,29,18.24%,10,6.29%,97,0,16:36:10,"1,555"
female,55-64,Returning Visitor,Direct,United States,"US$2,700.96",136,37,27.21%,20,14.71%,14,10.29%,73,0,12:15:34,"1,243"
female,18-24,New Visitor,Direct,United States,"US$2,611.53",943,304,32.24%,60,6.36%,31,3.29%,942,943,62:12:11,"5,977"
female,45-54,Returning Visitor,Direct,United States,"US$2,610.99",259,60,23.17%,40,15.44%,28,10.81%,148,0,31:56:15,"2,750"
male,18-24,New Visitor,Direct,United States,"US$2,409.85","1,338",426,31.84%,73,5.46%,46,3.44%,"1,337","1,338",69:34:58,"7,472"
female,35-44,New Visitor,Direct,United States,"US$2,079.87",557,162,29.08%,42,7.54%,25,4.49%,556,557,45:40:48,"4,316"
female,25-34,New Visitor,Direct,United States,"US$1,992.18",964,253,26.24%,69,7.16%,33,3.42%,962,964,74:47:42,"7,158"
male,65+,Returning Visitor,Direct,United States,"US$1,865.12",76,19,25.00%,16,21.05%,25,32.89%,46,0,07:31:44,777
male,45-54,New Visitor,Direct,United States,"US$1,740.67",556,156,28.06%,40,7.19%,26,4.68%,556,556,43:22:07,"4,100"
female,45-54,New Visitor,Direct,United States,"US$1,418.60",332,93,28.01%,24,7.23%,11,3.31%,330,332,28:22:46,"2,673"
male,25-34,Returning Visitor,Direct,Canada,"US$1,265.40",111,42,37.84%,14,12.61%,5,4.50%,60,0,10:17:04,915
male,18-24,Returning Visitor,Paid Search,United States,US$993.70,106,33,31.13%,15,14.15%,12,11.32%,62,0,07:45:39,824
male,65+,New Visitor,Direct,United States,US$934.00,103,29,28.16%,9,8.74%,7,6.80%,103,103,08:22:27,657
male,55-64,New Visitor,Direct,United States,US$846.20,219,58,26.48%,14,6.39%,8,3.65%,219,219,16:36:18,"1,409"
female,25-34,Returning Visitor,Paid Search,United States,US$751.40,96,29,30.21%,9,9.38%,5,5.21%,52,0,08:03:04,745
female,55-64,New Visitor,Direct,United States,US$661.73,137,53,38.69%,11,8.03%,9,6.57%,137,137,11:04:59,"1,019"
male,25-34,New Visitor,Paid Search,United States,US$607.60,190,90,47.37%,7,3.68%,5,2.63%,190,190,07:55:20,875
male,45-54,Returning Visitor,Paid Search,United States,US$603.46,112,51,45.54%,13,11.61%,9,8.04%,46,0,07:40:53,773
