# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20200901-20200930
# ----------------------------------------

Gender,Age,User Type,Default Channel Grouping,Country,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
female,25-34,Returning Visitor,Organic Search,United States,US$152.00,321,88,27.41%,15,4.67%,1,0.31%,202,0,28:30:15,"2,531"
male,25-34,Returning Visitor,Organic Search,United States,US$94.00,437,118,27.00%,27,6.18%,1,0.23%,257,0,38:18:48,"3,483"
female,25-34,New Visitor,Organic Search,United States,US$73.50,394,155,39.34%,11,2.79%,1,0.25%,394,394,26:11:31,"2,285"
male,45-54,New Visitor,Direct,United States,US$42.00,117,32,27.35%,4,3.42%,1,0.85%,117,117,08:48:55,769
male,55-64,New Visitor,Organic Search,United States,US$26.00,85,38,44.71%,3,3.53%,1,1.18%,85,85,03:36:09,437
female,18-24,New Visitor,(Other),India,US$0.00,13,7,53.85%,0,0.00%,0,0.00%,13,13,00:12:02,26
female,18-24,New Visitor,(Other),United States,US$0.00,34,10,29.41%,0,0.00%,0,0.00%,34,34,02:32:28,126
female,18-24,New Visitor,Affiliates,India,US$0.00,15,8,53.33%,0,0.00%,0,0.00%,15,15,00:57:46,40
female,18-24,New Visitor,Affiliates,United States,US$0.00,24,22,91.67%,0,0.00%,0,0.00%,24,24,00:24:58,26
female,18-24,New Visitor,Direct,Canada,US$0.00,14,8,57.14%,0,0.00%,0,0.00%,14,14,00:40:50,30
female,18-24,New Visitor,Direct,India,US$0.00,35,12,34.29%,0,0.00%,0,0.00%,34,35,01:35:25,195
female,18-24,New Visitor,Direct,United States,US$0.00,196,71,36.22%,5,2.55%,0,0.00%,196,196,11:39:05,"1,043"
female,18-24,New Visitor,Organic Search,Australia,US$0.00,13,9,69.23%,0,0.00%,0,0.00%,13,13,00:04:18,37
female,18-24,New Visitor,Organic Search,Brazil,US$0.00,13,8,61.54%,0,0.00%,0,0.00%,13,13,00:07:21,18
female,18-24,New Visitor,Organic Search,Canada,US$0.00,37,18,48.65%,0,0.00%,0,0.00%,37,37,01:12:09,112
female,18-24,New Visitor,Organic Search,China,US$0.00,15,12,80.00%,0,0.00%,0,0.00%,15,15,00:05:21,18
female,18-24,New Visitor,Organic Search,Germany,US$0.00,14,3,21.43%,0,0.00%,0,0.00%,14,14,00:32:58,68
female,18-24,New Visitor,Organic Search,France,US$0.00,13,10,76.92%,0,0.00%,0,0.00%,13,13,00:14:02,30
female,18-24,New Visitor,Organic Search,United Kingdom,US$0.00,27,18,66.67%,0,0.00%,0,0.00%,27,27,00:15:53,55
female,18-24,New Visitor,Organic Search,India,US$0.00,61,38,62.30%,0,0.00%,0,0.00%,61,61,00:48:02,131
female,18-24,New Visitor,Organic Search,Italy,US$0.00,10,4,40.00%,0,0.00%,0,0.00%,10,10,00:21:37,34
female,18-24,New Visitor,Organic Search,Japan,US$0.00,11,5,45.45%,0,0.00%,0,0.00%,11,11,00:36:06,62
female,18-24,New Visitor,Organic Search,South Korea,US$0.00,10,3,30.00%,0,0.00%,0,0.00%,10,10,00:19:41,24
female,18-24,New Visitor,Organic Search,United States,US$0.00,333,140,42.04%,4,1.20%,0,0.00%,333,333,16:54:09,"1,533"
female,18-24,New Visitor,Referral,South Korea,US$0.00,12,8,66.67%,0,0.00%,0,0.00%,12,12,00:07:31,26
female,18-24,New Visitor,Referral,United States,US$0.00,164,63,38.41%,5,3.05%,0,0.00%,164,164,15:42:20,"1,134"
female,18-24,New Visitor,Social,Indonesia,US$0.00,11,7,63.64%,0,0.00%,0,0.00%,11,11,00:07:03,46
female,18-24,New Visitor,Social,India,US$0.00,13,7,53.85%,0,0.00%,0,0.00%,13,13,00:24:05,51
female,18-24,Returning Visitor,(Other),United States,US$0.00,37,12,32.43%,1,2.70%,0,0.00%,28,0,04:03:53,264
female,18-24,Returning Visitor,Direct,United States,US$0.00,82,31,37.80%,4,4.88%,0,0.00%,51,0,03:21:28,438
female,18-24,Returning Visitor,Organic Search,Australia,US$0.00,27,7,25.93%,0,0.00%,0,0.00%,11,0,02:33:27,108
female,18-24,Returning Visitor,Organic Search,India,US$0.00,17,8,47.06%,1,5.88%,0,0.00%,14,0,00:24:23,88
female,18-24,Returning Visitor,Organic Search,United States,US$0.00,219,72,32.88%,6,2.74%,0,0.00%,123,0,13:50:42,"1,333"
female,18-24,Returning Visitor,Referral,United States,US$0.00,190,33,17.37%,15,7.89%,0,0.00%,102,0,24:13:18,"2,011"
female,25-34,New Visitor,(Other),India,US$0.00,17,5,29.41%,0,0.00%,0,0.00%,17,17,00:40:45,56
female,25-34,New Visitor,(Other),United States,US$0.00,27,8,29.63%,0,0.00%,0,0.00%,27,27,01:17:19,147
female,25-34,New Visitor,Affiliates,India,US$0.00,11,8,72.73%,0,0.00%,0,0.00%,11,11,00:05:31,15
female,25-34,New Visitor,Direct,Brazil,US$0.00,18,8,44.44%,0,0.00%,0,0.00%,18,18,01:54:31,173
female,25-34,New Visitor,Direct,Canada,US$0.00,32,11,34.38%,0,0.00%,0,0.00%,32,32,02:46:39,222
female,25-34,New Visitor,Direct,India,US$0.00,35,12,34.29%,0,0.00%,0,0.00%,35,35,01:37:55,142
female,25-34,New Visitor,Direct,Japan,US$0.00,11,3,27.27%,0,0.00%,0,0.00%,11,11,00:21:50,46
female,25-34,New Visitor,Direct,South Korea,US$0.00,19,12,63.16%,0,0.00%,0,0.00%,19,19,00:14:00,33
female,25-34,New Visitor,Direct,Taiwan,US$0.00,15,2,13.33%,0,0.00%,0,0.00%,15,15,01:52:19,161
female,25-34,New Visitor,Direct,United States,US$0.00,270,65,24.07%,8,2.96%,0,0.00%,270,270,21:40:40,"2,023"
female,25-34,New Visitor,Display,Canada,US$0.00,12,8,66.67%,0,0.00%,0,0.00%,12,12,00:15:18,45
female,25-34,New Visitor,Display,United States,US$0.00,14,10,71.43%,0,0.00%,0,0.00%,14,14,00:03:59,19
female,25-34,New Visitor,Organic Search,Australia,US$0.00,19,8,42.11%,0,0.00%,0,0.00%,19,19,02:09:23,118
female,25-34,New Visitor,Organic Search,Brazil,US$0.00,12,9,75.00%,0,0.00%,0,0.00%,12,12,00:17:52,30
female,25-34,New Visitor,Organic Search,Canada,US$0.00,35,20,57.14%,1,2.86%,0,0.00%,35,35,00:46:32,156
female,25-34,New Visitor,Organic Search,China,US$0.00,22,16,72.73%,0,0.00%,0,0.00%,22,22,00:05:06,32
female,25-34,New Visitor,Organic Search,Germany,US$0.00,18,6,33.33%,0,0.00%,0,0.00%,18,18,01:10:53,69
female,25-34,New Visitor,Organic Search,United Kingdom,US$0.00,34,17,50.00%,0,0.00%,0,0.00%,34,34,00:48:58,106
female,25-34,New Visitor,Organic Search,Ireland,US$0.00,13,7,53.85%,0,0.00%,0,0.00%,13,13,00:27:12,33
female,25-34,New Visitor,Organic Search,India,US$0.00,64,39,60.94%,0,0.00%,0,0.00%,63,64,01:54:42,155
female,25-34,New Visitor,Organic Search,Japan,US$0.00,24,16,66.67%,0,0.00%,0,0.00%,24,24,00:25:52,87
female,25-34,New Visitor,Organic Search,South Korea,US$0.00,18,11,61.11%,1,5.56%,0,0.00%,18,18,01:08:57,137
female,25-34,New Visitor,Organic Search,Mexico,US$0.00,12,4,33.33%,0,0.00%,0,0.00%,12,12,02:10:16,79
female,25-34,New Visitor,Organic Search,Sweden,US$0.00,11,7,63.64%,0,0.00%,0,0.00%,11,11,00:09:38,32
female,25-34,New Visitor,Organic Search,Singapore,US$0.00,17,9,52.94%,0,0.00%,0,0.00%,17,17,00:57:06,46
female,25-34,New Visitor,Organic Search,Taiwan,US$0.00,20,5,25.00%,0,0.00%,0,0.00%,20,20,00:47:38,116
female,25-34,New Visitor,Referral,Canada,US$0.00,13,6,46.15%,0,0.00%,0,0.00%,13,13,01:17:58,62
female,25-34,New Visitor,Referral,India,US$0.00,18,10,55.56%,0,0.00%,0,0.00%,18,18,00:28:00,38
female,25-34,New Visitor,Referral,Japan,US$0.00,10,4,40.00%,0,0.00%,0,0.00%,10,10,00:12:45,23
female,25-34,New Visitor,Referral,South Korea,US$0.00,18,14,77.78%,0,0.00%,0,0.00%,18,18,00:10:51,27
female,25-34,New Visitor,Referral,Taiwan,US$0.00,19,9,47.37%,0,0.00%,0,0.00%,19,19,00:39:21,52
female,25-34,New Visitor,Referral,United States,US$0.00,221,51,23.08%,7,3.17%,0,0.00%,221,221,18:27:11,"1,722"
female,25-34,New Visitor,Social,United States,US$0.00,10,4,40.00%,0,0.00%,0,0.00%,10,10,00:18:55,81
female,25-34,Returning Visitor,(Other),United States,US$0.00,26,6,23.08%,1,3.85%,0,0.00%,12,0,04:30:15,333
female,25-34,Returning Visitor,Direct,United States,US$0.00,125,44,35.20%,5,4.00%,0,0.00%,81,0,10:11:19,851
female,25-34,Returning Visitor,Organic Search,Canada,US$0.00,17,6,35.29%,0,0.00%,0,0.00%,11,0,02:55:53,206
female,25-34,Returning Visitor,Organic Search,India,US$0.00,15,7,46.67%,0,0.00%,0,0.00%,15,0,00:59:34,47
female,25-34,Returning Visitor,Referral,South Korea,US$0.00,21,13,61.90%,0,0.00%,0,0.00%,14,0,00:28:57,49
female,25-34,Returning Visitor,Referral,United States,US$0.00,320,72,22.50%,22,6.88%,0,0.00%,189,0,33:15:55,"2,720"
female,35-44,New Visitor,(Other),United States,US$0.00,12,4,33.33%,1,8.33%,0,0.00%,12,12,01:40:08,126
female,35-44,New Visitor,Direct,Canada,US$0.00,11,1,9.09%,0,0.00%,0,0.00%,11,11,00:41:59,40
female,35-44,New Visitor,Direct,India,US$0.00,17,10,58.82%,0,0.00%,0,0.00%,16,17,00:53:28,55
female,35-44,New Visitor,Direct,United States,US$0.00,94,26,27.66%,2,2.13%,0,0.00%,94,94,05:31:44,600
female,35-44,New Visitor,Organic Search,Canada,US$0.00,19,6,31.58%,1,5.26%,0,0.00%,19,19,00:50:44,73
female,35-44,New Visitor,Organic Search,United Kingdom,US$0.00,18,8,44.44%,0,0.00%,0,0.00%,18,18,00:24:23,39
female,35-44,New Visitor,Organic Search,India,US$0.00,31,24,77.42%,0,0.00%,0,0.00%,31,31,00:27:35,59
female,35-44,New Visitor,Organic Search,United States,US$0.00,154,60,38.96%,2,1.30%,0,0.00%,154,154,07:56:10,858
female,35-44,New Visitor,Referral,United States,US$0.00,83,17,20.48%,2,2.41%,0,0.00%,83,83,07:54:41,639
female,35-44,Returning Visitor,Direct,United States,US$0.00,44,10,22.73%,3,6.82%,0,0.00%,32,0,05:07:11,351
female,35-44,Returning Visitor,Organic Search,United States,US$0.00,115,26,22.61%,7,6.09%,0,0.00%,56,0,11:16:40,955
female,35-44,Returning Visitor,Referral,United States,US$0.00,101,22,21.78%,11,10.89%,0,0.00%,62,0,10:09:56,810
female,45-54,New Visitor,(Other),United States,US$0.00,10,5,50.00%,0,0.00%,0,0.00%,10,10,00:32:02,48
female,45-54,New Visitor,Direct,United States,US$0.00,74,15,20.27%,1,1.35%,0,0.00%,74,74,04:40:24,405
female,45-54,New Visitor,Display,United States,US$0.00,22,13,59.09%,0,0.00%,0,0.00%,22,22,00:24:01,101
female,45-54,New Visitor,Organic Search,Canada,US$0.00,12,4,33.33%,0,0.00%,0,0.00%,12,12,00:35:12,53
female,45-54,New Visitor,Organic Search,Taiwan,US$0.00,12,7,58.33%,0,0.00%,0,0.00%,12,12,01:07:11,95
female,45-54,New Visitor,Organic Search,United States,US$0.00,117,32,27.35%,3,2.56%,0,0.00%,117,117,09:38:03,762
female,45-54,New Visitor,Referral,Taiwan,US$0.00,10,8,80.00%,0,0.00%,0,0.00%,10,10,00:38:58,16
female,45-54,New Visitor,Referral,United States,US$0.00,44,13,29.55%,1,2.27%,0,0.00%,44,44,04:23:54,350
female,45-54,Returning Visitor,Direct,United States,US$0.00,28,8,28.57%,1,3.57%,0,0.00%,20,0,02:56:42,175
female,45-54,Returning Visitor,Organic Search,United States,US$0.00,76,23,30.26%,3,3.95%,0,0.00%,45,0,06:27:11,575
female,45-54,Returning Visitor,Referral,United States,US$0.00,69,16,23.19%,3,4.35%,0,0.00%,37,0,06:15:26,686
female,55-64,New Visitor,Direct,United States,US$0.00,39,14,35.90%,0,0.00%,0,0.00%,39,39,01:22:05,144
female,55-64,New Visitor,Display,Canada,US$0.00,13,11,84.62%,0,0.00%,0,0.00%,13,13,00:15:09,30
female,55-64,New Visitor,Display,United States,US$0.00,17,12,70.59%,0,0.00%,0,0.00%,17,17,00:32:06,33
female,55-64,New Visitor,Organic Search,United States,US$0.00,54,24,44.44%,0,0.00%,0,0.00%,54,54,03:06:36,208
female,55-64,New Visitor,Referral,United States,US$0.00,15,7,46.67%,0,0.00%,0,0.00%,15,15,00:31:14,60
female,55-64,Returning Visitor,Organic Search,United States,US$0.00,30,3,10.00%,1,3.33%,0,0.00%,18,0,02:35:20,152
female,55-64,Returning Visitor,Referral,United States,US$0.00,18,2,11.11%,3,16.67%,0,0.00%,10,0,02:27:40,244
female,65+,New Visitor,Direct,United States,US$0.00,23,8,34.78%,0,0.00%,0,0.00%,23,23,00:56:17,121
female,65+,New Visitor,Display,United States,US$0.00,17,14,82.35%,0,0.00%,0,0.00%,17,17,00:00:56,20
female,65+,New Visitor,Organic Search,United States,US$0.00,35,15,42.86%,1,2.86%,0,0.00%,35,35,01:14:59,113
female,65+,New Visitor,Referral,United States,US$0.00,15,5,33.33%,0,0.00%,0,0.00%,15,15,00:53:49,59
female,65+,Returning Visitor,Organic Search,United States,US$0.00,13,3,23.08%,1,7.69%,0,0.00%,10,0,00:54:03,77
female,65+,Returning Visitor,Referral,United States,US$0.00,17,1,5.88%,1,5.88%,0,0.00%,12,0,01:52:23,144
male,18-24,New Visitor,(Other),India,US$0.00,40,16,40.00%,0,0.00%,0,0.00%,40,40,01:12:06,115
male,18-24,New Visitor,(Other),United States,US$0.00,33,11,33.33%,0,0.00%,0,0.00%,33,33,01:50:45,229
male,18-24,New Visitor,Affiliates,India,US$0.00,14,9,64.29%,0,0.00%,0,0.00%,14,14,00:30:15,24
male,18-24,New Visitor,Affiliates,United States,US$0.00,31,19,61.29%,0,0.00%,0,0.00%,31,31,02:07:07,60
male,18-24,New Visitor,Direct,Brazil,US$0.00,13,8,61.54%,0,0.00%,0,0.00%,13,13,00:17:13,28
male,18-24,New Visitor,Direct,Canada,US$0.00,37,14,37.84%,0,0.00%,0,0.00%,37,37,02:52:59,204
male,18-24,New Visitor,Direct,France,US$0.00,11,4,36.36%,0,0.00%,0,0.00%,11,11,00:09:22,33
male,18-24,New Visitor,Direct,India,US$0.00,93,41,44.09%,0,0.00%,0,0.00%,92,93,02:20:37,249
male,18-24,New Visitor,Direct,United States,US$0.00,265,73,27.55%,5,1.89%,0,0.00%,265,265,16:26:49,"1,522"
male,18-24,New Visitor,Display,Canada,US$0.00,11,4,36.36%,0,0.00%,0,0.00%,11,11,00:23:53,210
male,18-24,New Visitor,Display,United States,US$0.00,13,8,61.54%,0,0.00%,0,0.00%,13,13,00:10:12,75
male,18-24,New Visitor,Organic Search,Australia,US$0.00,17,12,70.59%,0,0.00%,0,0.00%,17,17,00:13:57,64
male,18-24,New Visitor,Organic Search,Brazil,US$0.00,23,14,60.87%,0,0.00%,0,0.00%,23,23,00:21:10,58
male,18-24,New Visitor,Organic Search,Canada,US$0.00,60,34,56.67%,0,0.00%,0,0.00%,60,60,01:54:43,180
male,18-24,New Visitor,Organic Search,China,US$0.00,70,59,84.29%,0,0.00%,0,0.00%,70,70,00:12:06,91
